quarter,town,flat_type,price
2007-Q4,Pasir Ris,Executive,455000
2007-Q4,Punggol,1-room,0
2007-Q4,Punggol,2-room,0
2007-Q4,Punggol,3-room,0
2007-Q4,Punggol,4-room,293000
2007-Q4,Punggol,5-room,358000
2007-Q4,Punggol,Executive,-
2007-Q4,Queenstown,1-room,0
2007-Q4,Queenstown,2-room,-
2007-Q4,Queenstown,3-room,220000
2007-Q4,Queenstown,4-room,425000
2007-Q4,Queenstown,5-room,591000
2007-Q4,Queenstown,Executive,-
2007-Q4,Sembawang,1-room,0
2007-Q4,Sembawang,2-room,0
2007-Q4,Sembawang,3-room,0
2007-Q4,Sembawang,4-room,257500
2007-Q4,Sembawang,5-room,308000
2007-Q4,Sembawang,Executive,-
2007-Q4,Sengkang,1-room,0
2007-Q4,Sengkang,2-room,0
2007-Q4,Sengkang,3-room,0
2007-Q4,Sengkang,4-room,281000
2007-Q4,Sengkang,5-room,334000
2007-Q4,Sengkang,Executive,421300
2007-Q4,Serangoon,1-room,0
2007-Q4,Serangoon,2-room,-
2007-Q4,Serangoon,3-room,187000
2007-Q4,Serangoon,4-room,275500
2007-Q4,Serangoon,5-room,350000
2007-Q4,Serangoon,Executive,-
2007-Q4,Tampines,1-room,0
2007-Q4,Tampines,2-room,0
2007-Q4,Tampines,3-room,222000
2007-Q4,Tampines,4-room,293000
2007-Q4,Tampines,5-room,350000
2007-Q4,Tampines,Executive,446000
2007-Q4,Toa Payoh,1-room,0
2007-Q4,Toa Payoh,2-room,-
2007-Q4,Toa Payoh,3-room,215000
2007-Q4,Toa Payoh,4-room,335000
2007-Q4,Toa Payoh,5-room,525000
2007-Q4,Toa Payoh,Executive,-
2007-Q4,Woodlands,1-room,0
2007-Q4,Woodlands,2-room,0
2007-Q4,Woodlands,3-room,161300
2007-Q4,Woodlands,4-room,248000
2007-Q4,Woodlands,5-room,300000
2007-Q4,Woodlands,Executive,380200
2007-Q4,Yishun,1-room,0
2007-Q4,Yishun,2-room,0
2007-Q4,Yishun,3-room,178000
2007-Q4,Yishun,4-room,218000
2007-Q4,Yishun,5-room,288000
2007-Q4,Yishun,Executive,-
2008-Q1,Ang Mo Kio,1-room,0
2008-Q1,Ang Mo Kio,2-room,-
2008-Q1,Ang Mo Kio,3-room,215000
2008-Q1,Ang Mo Kio,4-room,313500
2008-Q1,Ang Mo Kio,5-room,435500
2008-Q1,Ang Mo Kio,Executive,-
2008-Q1,Bedok,1-room,0
2008-Q1,Bedok,2-room,-
2008-Q1,Bedok,3-room,202000
2008-Q1,Bedok,4-room,271500
2008-Q1,Bedok,5-room,423000
2008-Q1,Bedok,Executive,-
2008-Q1,Bishan,1-room,0
2008-Q1,Bishan,2-room,0
2008-Q1,Bishan,3-room,-
2008-Q1,Bishan,4-room,373000
2008-Q1,Bishan,5-room,500000
2008-Q1,Bishan,Executive,-
2008-Q1,Bukit Batok,1-room,0
2008-Q1,Bukit Batok,2-room,0
2008-Q1,Bukit Batok,3-room,198000
2008-Q1,Bukit Batok,4-room,331000
2008-Q1,Bukit Batok,5-room,450000
2008-Q1,Bukit Batok,Executive,-
2008-Q1,Bukit Merah,1-room,-
2008-Q1,Bukit Merah,2-room,-
2008-Q1,Bukit Merah,3-room,243000
2008-Q1,Bukit Merah,4-room,432800
2008-Q1,Bukit Merah,5-room,560000
2008-Q1,Bukit Merah,Executive,0
2008-Q1,Bukit Panjang,1-room,0
2008-Q1,Bukit Panjang,2-room,0
2008-Q1,Bukit Panjang,3-room,-
2008-Q1,Bukit Panjang,4-room,252000
2008-Q1,Bukit Panjang,5-room,330000
2008-Q1,Bukit Panjang,Executive,-
2008-Q1,Bukit Timah,1-room,0
2008-Q1,Bukit Timah,2-room,0
2008-Q1,Bukit Timah,3-room,0
2008-Q1,Bukit Timah,4-room,-
2008-Q1,Bukit Timah,5-room,-
2008-Q1,Bukit Timah,Executive,-
2008-Q1,Central,1-room,0
2008-Q1,Central,2-room,-
2008-Q1,Central,3-room,300000
2008-Q1,Central,4-room,-
2008-Q1,Central,5-room,-
2008-Q1,Central,Executive,0
2008-Q1,Choa Chu Kang,1-room,0
2008-Q1,Choa Chu Kang,2-room,0
2008-Q1,Choa Chu Kang,3-room,-
2008-Q1,Choa Chu Kang,4-room,273000
2008-Q1,Choa Chu Kang,5-room,328000
2008-Q1,Choa Chu Kang,Executive,414000
2008-Q1,Clementi,1-room,0
2008-Q1,Clementi,2-room,0
2008-Q1,Clementi,3-room,225000
2008-Q1,Clementi,4-room,351500
2008-Q1,Clementi,5-room,490000
2008-Q1,Clementi,Executive,-
2008-Q1,Geylang,1-room,0
2008-Q1,Geylang,2-room,-
2008-Q1,Geylang,3-room,187500
2008-Q1,Geylang,4-room,322500
2008-Q1,Geylang,5-room,-
2008-Q1,Geylang,Executive,-
2008-Q1,Hougang,1-room,0
2008-Q1,Hougang,2-room,0
2008-Q1,Hougang,3-room,200000
2008-Q1,Hougang,4-room,276000
2008-Q1,Hougang,5-room,365000
2008-Q1,Hougang,Executive,434000
2008-Q1,Jurong East,1-room,0
2008-Q1,Jurong East,2-room,0
2008-Q1,Jurong East,3-room,198800
2008-Q1,Jurong East,4-room,280000
2008-Q1,Jurong East,5-room,356500
2008-Q1,Jurong East,Executive,-
2008-Q1,Jurong West,1-room,0
2008-Q1,Jurong West,2-room,0
2008-Q1,Jurong West,3-room,175000
2008-Q1,Jurong West,4-room,258000
2008-Q1,Jurong West,5-room,330000
2008-Q1,Jurong West,Executive,362500
2008-Q1,Kallang/Whampoa,1-room,0
2008-Q1,Kallang/Whampoa,2-room,-
2008-Q1,Kallang/Whampoa,3-room,224000
2008-Q1,Kallang/Whampoa,4-room,360000
2008-Q1,Kallang/Whampoa,5-room,500000
2008-Q1,Kallang/Whampoa,Executive,-
2008-Q1,Marine Parade,1-room,0
2008-Q1,Marine Parade,2-room,0
2008-Q1,Marine Parade,3-room,288500
2008-Q1,Marine Parade,4-room,-
2008-Q1,Marine Parade,5-room,-
2008-Q1,Marine Parade,Executive,0
2008-Q1,Pasir Ris,1-room,0
2008-Q1,Pasir Ris,2-room,0
2008-Q1,Pasir Ris,3-room,-
2008-Q1,Pasir Ris,4-room,293000
2008-Q1,Pasir Ris,5-room,345000
2008-Q1,Pasir Ris,Executive,470000
2008-Q1,Punggol,1-room,0
2008-Q1,Punggol,2-room,0
2008-Q1,Punggol,3-room,0
2008-Q1,Punggol,4-room,305000
2008-Q1,Punggol,5-room,365000
2008-Q1,Punggol,Executive,-
2008-Q1,Queenstown,1-room,0
2008-Q1,Queenstown,2-room,-
2008-Q1,Queenstown,3-room,230000
2008-Q1,Queenstown,4-room,465000
2008-Q1,Queenstown,5-room,620000
2008-Q1,Queenstown,Executive,-
2008-Q1,Sembawang,1-room,0
2008-Q1,Sembawang,2-room,0
2008-Q1,Sembawang,3-room,0
2008-Q1,Sembawang,4-room,272000
2008-Q1,Sembawang,5-room,325500
2008-Q1,Sembawang,Executive,-
2008-Q1,Sengkang,1-room,0
2008-Q1,Sengkang,2-room,0
2008-Q1,Sengkang,3-room,0
2008-Q1,Sengkang,4-room,298000
2008-Q1,Sengkang,5-room,345000
2008-Q1,Sengkang,Executive,429000
2008-Q1,Serangoon,1-room,0
2008-Q1,Serangoon,2-room,0
2008-Q1,Serangoon,3-room,201000
2008-Q1,Serangoon,4-room,299000
2008-Q1,Serangoon,5-room,390000
2008-Q1,Serangoon,Executive,-
