Year,Month,Airline Code,Airline,Number of Power Run-ups,Number of Power Run-ups per 1000 Departures,Percentage of Power Run-ups for the Period
2015,1,UAL,UNITED AIR LINES,5,1.2,24%
2015,2,UAL,UNITED AIR LINES,3,0.8,30%
2015,2,AAL,AMERICAN AIRLINES,7,9.3,70%
2015,3,DAL,DELTA AIR LINES,1,1.4,5%
2015,3,EJA,NETJETS AVIATION,1,4.4,5%
2015,3,OPT,FLIGHT OPTIONS,2,42.6,10%
2015,3,UAL,UNITED AIR LINES,6,1.3,30%
2015,3,AAL,AMERICAN AIRLINES,10,11.4,50%
2015,4,DAL,DELTA AIR LINES,1,1.4,5%
2015,4,VRD,VIRGIN AMERICA,1,0.7,5%
2015,4,UAL,UNITED AIR LINES,4,0.9,21%
2015,4,AAL,AMERICAN AIRLINES,13,11,68%
2015,5,DAL,DELTA AIR LINES,1,1.3,4%
2015,5,SWA,SOUTHWEST AIRLINES ,1,0.8,4%
2015,5,VRD,VIRGIN AMERICA,1,0.7,4%
2015,5,UAL,UNITED AIR LINES,4,0.8,17%
2015,5,AAL,AMERICAN AIRLINES,17,12.4,71%
2015,6,ASA,ALASKA AIRLINES,1,1.9,4%
2015,6,UAL,UNITED AIR LINES,11,2.1,46%
2015,6,AAL,AMERICAN AIRLINES,12,8.7,50%
2015,7,AAL,AMERICAN AIRLINES,14,9.6,52%
2015,7,UAL,UNITED AIR LINES,11,2,41%
2015,7,VRD,VIRGIN AMERICA,2,1.3,7%
2015,8,DAL,DELTA AIR LINES,1,0.9,4%
2015,8,TAI,AVIANCA,1,16.1,4%
2015,8,UAL,UNITED AIR LINES,9,1.7,32%
2015,8,AAL,AMERICAN AIRLINES,17,11.9,61%
2015,9,AAL,AMERICAN AIRLINES,15,11.1,68%
2015,9,LXJ,FLREXJET,1,15.9,5%
2015,9,UAL,UNITED AIR LINES,6,1.2,27%
2015,10,AAL,AMERICAN AIRLINES,14,9.7,70%
2015,10,UAL,UNITED AIR LINES,6,1.2,30%
2015,11,DAL,DELTA AIR LINES,1,0.9,7%
2015,11,UAL,UNITED AIR LINES,4,0.9,29%
2015,11,AAL,AMERICAN AIRLINES,9,6.7,64%
