Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS,Year,Month
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Cargo,Passenger,39501,17.9176536,2005,July
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Mail,Passenger,34025,15.43374,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Freighter,24725,11.21526,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Passenger,888916,403.2122976,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,36110,16.379496,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Freighter,201930,91.595448,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Passenger,261190,118.475784,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Mail,Passenger,20534,9.3142224,2005,July
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,328,0.1487808,2005,July
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,1243,0.5638248,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Cargo,Passenger,140,0.063504,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,63854,28.9641744,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,6292,2.8540512,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Mail,Passenger,25108,11.3889888,2005,July
200507,TACA,TA,TACA,TA,International,Central America,Deplaned,Cargo,Passenger,8335,3.780756,2005,July
200507,TACA,TA,TACA,TA,International,Central America,Enplaned,Cargo,Passenger,4392,1.9922112,2005,July
200507,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Deplaned,Cargo,Freighter,937032,425.0377152,2005,July
200507,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Enplaned,Cargo,Freighter,956199,433.7318664,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Cargo,Passenger,129362,58.6786032,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Express,Passenger,7766,3.5226576,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Mail,Passenger,168389,76.3812504,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Cargo,Passenger,327497,148.5526392,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Express,Passenger,5907,2.6794152,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Mail,Passenger,323412,146.6996832,2005,July
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,210339,95.4097704,2005,July
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,176740,80.169264,2005,July
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Cargo,Passenger,290324,131.6909664,2005,July
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,569459,258.3066024,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Cargo,Passenger,93821,42.5572056,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Express,Passenger,1701955,772.006788,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Mail,Passenger,1163527,527.7758472,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Cargo,Passenger,226239,102.6220104,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Express,Passenger,2353533,1067.562569,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Mail,Passenger,2958402,1341.931147,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Cargo,Passenger,5247516,2380.273258,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Express,Passenger,486689,220.7621304,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Mail,Passenger,653,0.2962008,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Cargo,Passenger,2352871,1067.262286,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Express,Passenger,651243,295.4038248,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Mail,Passenger,3756,1.7037216,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Express,Passenger,684081,310.2991416,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,17908,8.1230688,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Express,Passenger,84444,38.3037984,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,133094,60.3714384,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Express,Passenger,1432,0.6495552,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Mail,Passenger,7176,3.2550336,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Express,Passenger,12142,5.5076112,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Mail,Passenger,20340,9.226224,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Express,Passenger,1221344,554.0016384,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Mail,Passenger,429079,194.6302344,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Express,Passenger,1012659,459.3421224,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Mail,Passenger,467018,211.8393648,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Cargo,Passenger,42,0.0190512,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Express,Passenger,10500,4.7628,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Mail,Passenger,2500,1.134,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Express,Passenger,3507,1.5907752,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Mail,Passenger,42960,19.486656,2005,July
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,470598,213.4632528,2005,July
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Express,Passenger,2618,1.1875248,2005,July
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Mail,Passenger,10137,4.5981432,2005,July
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,457585,207.560556,2005,July
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,458862,208.1398032,2005,August
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,441842,200.4195312,2005,August
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,74940,33.992784,2005,August
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,57768,26.2035648,2005,August
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,73515,33.346404,2005,August
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,224120,101.660832,2005,August
