CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,BUILT-OUT,1980s/1990s,2009,,14533,4645,974,0,4213,4237,24,0,0,379,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,2,0,24,21,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,363,227,843,15,0,0,0,4196,3965,13626,40,0,1,0,395,1245,1006,1774,166,7354,7179,365,1419,718,535,662,1231,1523,663,182,56,354,1326,669,438,680,1411,1468,585,162,86,719,2745,1387,973,1342,2642,2991,1248,344,142,5065065.29098000000,11216.49653420000
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,BUILT-OUT,1950s,2009,,2940,1107,121,0,794,674,0,0,369,33,0,28,0,0,0,2,0,1,0,0,357,221,578,12,0,0,0,20,0,29,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,549,1,0,0,0,32,30,55,1,0,0,1,629,543,1729,31,12,1,3,316,370,145,199,10,1364,1576,52,135,73,97,163,146,218,138,99,243,49,111,64,96,140,163,207,130,127,489,101,246,137,193,303,309,425,268,226,732,1178022.42975000000,4704.71367635000
Residential,1,SHS,SHAWNEE SLOPES,SOUTH,BUILT-OUT,1980s/1990s,2009,,1510,682,44,0,570,403,96,0,134,48,0,0,0,1,0,0,0,0,0,0,84,70,133,2,46,2,0,0,0,0,0,0,0,0,91,89,167,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,35,31,49,0,12,1,0,391,380,1158,10,1,1,1,106,275,93,114,14,729,781,13,52,66,46,40,55,157,147,90,63,24,59,73,42,28,70,161,147,103,74,37,111,139,88,68,125,318,294,193,137,1241445.36692000000,5757.03221045000
Residential,1,SDC,SUNDANCE,SOUTH,BUILT-OUT,1980s/1990s,2009,,10969,3401,523,0,3094,3066,74,0,100,152,0,9,0,0,0,0,0,0,0,1,89,87,110,10,0,0,0,7,1,9,0,0,2,0,73,62,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151,61,398,0,0,0,0,3036,2883,10300,28,1,1,0,286,836,672,1414,148,5533,5436,197,875,761,511,328,666,1297,632,164,102,195,868,641,399,308,832,1340,506,176,171,392,1743,1402,910,636,1498,2637,1138,340,273,4020217.67389000000,9073.96833690000
Residential,1,CRA,CRANSTON,SOUTHEAST,DEVELOPING,BUILDING OUT,2009,,9140,3452,1345,0,2963,2920,198,12,220,99,0,3,0,0,0,0,0,0,0,0,206,119,329,0,14,0,0,3,0,8,0,0,0,7,174,156,398,3,14,0,0,0,0,0,0,0,0,0,12,10,27,0,0,0,0,0,0,0,0,0,0,0,96,74,215,3,0,0,25,2797,2604,8163,45,49,4,0,449,1167,684,916,72,4635,4505,571,535,191,254,1163,995,515,310,80,21,543,554,173,274,1247,835,487,290,75,27,1114,1089,364,528,2410,1830,1002,600,155,48,8261225.88859000000,14732.04073900000
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,DEVELOPING,BUILDING OUT,2009,,14068,5818,1824,0,4866,3311,445,0,1155,838,0,6,0,0,61,2,0,0,0,6,1112,864,1868,32,4,1,0,6,1,7,0,0,0,2,426,370,989,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,343,2,10,5,1,811,681,1545,26,0,0,16,3173,2945,9316,59,61,2,63,1242,2107,1023,1116,86,6969,7099,771,773,204,452,2050,1416,671,339,157,136,725,777,195,461,2098,1283,633,420,211,296,1496,1550,399,913,4148,2699,1304,759,368,432,4824444.90983000000,10052.15003300000
Major Park,3,FPK,FISH CREEK PARK,SOUTH,N/A,PARKS,2009,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15598168.92840000000,54667.23223250000
Residential,1,SVO,SILVERADO,SOUTH,DEVELOPING,BUILDING OUT,2009,,2620,1113,299,0,769,930,120,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,108,346,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,43,33,81,0,17,0,24,766,628,2190,27,113,0,0,99,355,219,228,27,1352,1268,133,157,62,123,419,264,133,45,13,3,128,155,61,118,413,220,105,52,12,4,261,312,123,241,832,484,238,97,25,7,5111701.32705000000,9627.47467887000
Residential,1,SOM,SOMERSET,SOUTH,BUILT-OUT,1980s/1990s,2009,,8486,3134,802,0,2665,2177,0,0,784,169,0,4,0,0,0,0,0,0,0,0,746,505,1266,38,0,0,0,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,143,276,5,0,0,1,2155,2015,6932,15,3,3,0,605,926,582,857,99,4233,4253,308,674,275,252,618,970,603,288,154,91,301,613,240,222,669,911,591,303,225,178,609,1287,515,474,1287,1881,1194,591,379,269,2344430.88383000000,6896.03407750000
Residential,1,COU,COUNTRY HILLS,NORTH,BUILT-OUT,1980s/1990s,2009,,3684,1426,342,0,1257,979,0,0,200,244,0,3,0,0,0,0,0,0,0,0,197,172,291,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,204,492,4,0,0,0,972,881,2897,6,1,0,0,319,467,261,324,41,1803,1881,137,219,95,129,329,368,251,147,84,44,150,219,82,107,379,352,275,166,92,59,287,438,177,236,708,720,526,313,176,103,1888400.22823000000,7442.87555926000
Residential,1,RAN,RANCHLANDS,NORTHWEST,BUILT-OUT,1960s/1970s,2009,,7654,3035,568,0,2003,1469,271,0,285,958,0,52,0,0,0,0,0,0,0,2,205,1,448,22,56,0,0,41,9,79,3,0,8,0,265,183,684,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,923,500,2273,34,0,0,0,1451,1310,4170,16,0,2,0,534,999,631,656,65,3766,3888,238,474,253,358,616,589,587,408,171,72,225,467,245,351,648,626,637,448,168,73,463,941,498,709,1264,1215,1224,856,339,145,2347533.92340000000,6574.46106023000
Residential,1,MAC,MACEWAN GLEN,NORTH,BUILT-OUT,1980s/1990s,2009,,5233,1778,395,0,1565,1516,66,0,0,185,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,15,1,0,1,0,65,42,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,112,414,0,0,0,0,1497,1410,4652,19,0,0,0,231,515,367,579,64,2593,2640,151,364,238,220,285,380,553,247,86,69,145,374,233,168,275,443,558,236,100,108,296,738,471,388,560,823,1111,483,186,177,1418085.99440000000,5013.41360462000
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,BUILT-OUT,1950s,2009,,2080,925,131,0,544,605,137,36,16,56,0,74,0,0,1,0,0,0,0,0,16,0,20,0,0,0,1,58,3,90,1,0,14,0,124,31,278,8,2,3,0,0,0,0,0,0,0,0,33,0,53,1,0,0,0,1,0,2,0,0,0,0,55,0,139,1,0,0,1,587,510,1498,11,3,3,1,208,350,143,166,7,1029,1051,49,96,59,100,166,156,178,92,60,73,57,85,94,82,163,138,185,85,71,91,106,181,153,182,329,294,363,177,131,164,864001.19646000000,5162.65334457000
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,BUILT-OUT,1960s/1970s,2009,,8554,3041,710,0,2178,2058,77,0,58,630,0,218,0,0,0,0,0,0,0,0,53,44,72,5,0,0,1,154,15,293,55,0,8,0,69,38,177,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,616,424,1655,13,0,0,0,2021,1657,6357,37,0,0,0,458,930,615,713,197,4446,4108,291,521,306,386,732,725,709,453,255,68,269,542,307,302,610,630,647,460,248,93,560,1063,613,688,1342,1355,1356,913,503,161,2487253.93489000000,6281.98128517000
Residential,1,CRM,CRESTMONT,WEST,BUILT-OUT,2000s,2009,,1382,437,215,0,416,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,428,416,1382,5,2,1,0,19,127,100,170,12,688,694,93,90,39,37,86,184,101,41,14,3,88,100,32,34,131,173,87,30,12,7,181,190,71,71,217,357,188,71,26,10,636697.16565300000,3193.22737855000
Residential,1,UOC,UNIVERSITY OF CALGARY,NORTHWEST,BUILT-OUT,OTHER,2009,,2137,645,184,0,0,0,0,0,393,250,0,0,2,0,0,0,0,0,0,0,374,0,801,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,636,0,0,0,0,223,0,700,27,0,0,0,0,0,0,0,0,0,2,144,203,78,165,9,1049,1088,85,49,327,290,195,91,11,1,0,0,67,46,383,305,223,60,2,1,0,1,152,95,710,595,418,151,13,2,0,1,2659681.80536000000,9062.15187875000
Residential,1,COL,COLLINGWOOD,NORTHWEST,BUILT-OUT,1950s,2009,,2281,970,108,0,717,731,96,0,121,5,0,16,0,0,1,0,0,0,0,0,103,10,161,9,7,2,0,13,1,23,0,0,3,0,88,57,176,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,11,0,0,0,0,713,648,1910,17,1,0,1,209,362,134,204,13,1151,1130,33,122,95,121,128,142,210,125,63,112,55,106,94,81,98,137,199,140,91,129,88,228,189,202,226,279,409,265,154,241,1558978.87988000000,5580.25201105000
Residential,1,MOP,MOUNT PLEASANT,CENTRE,BUILT-OUT,INNER CITY,2009,,4762,2573,310,0,1311,1581,386,3,67,84,0,449,0,2,1,0,0,0,0,6,60,14,94,1,0,0,2,308,12,415,28,2,109,0,328,218,793,22,28,8,0,0,0,0,0,0,0,0,3,0,7,0,0,0,1,1,0,2,0,1,0,0,81,63,118,3,0,0,4,1476,1004,3333,77,16,8,3,785,847,327,274,24,2487,2275,132,176,95,225,600,485,401,216,92,65,127,179,97,187,495,413,388,163,100,126,259,355,192,412,1095,898,789,379,192,191,1864829.82786000000,5992.60647283000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,1950s,2009,,372,167,26,0,140,164,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,140,368,8,1,1,0,35,66,26,25,4,188,184,13,19,6,5,13,34,42,25,11,20,10,18,10,5,18,31,36,22,11,23,23,37,16,10,31,65,78,47,22,43,352694.40759700000,2630.18261306000
Residential,1,RED,RED CARPET,EAST,BUILT-OUT,1960s/1970s,2009,,1657,916,75,0,685,0,0,0,400,0,516,0,0,0,0,0,0,0,0,0,398,304,642,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,381,1015,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,383,94,51,6,865,792,31,46,29,40,163,139,179,121,84,33,35,40,37,50,126,124,137,123,83,37,66,86,66,90,289,263,316,244,167,70,556460.46449300000,3605.66997257000
Residential,1,CAN,CANYON MEADOWS,SOUTH,BUILT-OUT,1960s/1970s,2009,,7985,3180,464,0,2608,1956,153,0,333,711,0,27,0,0,0,0,0,0,0,0,315,206,562,18,0,0,0,25,3,48,0,0,2,0,151,82,425,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,516,1389,20,0,0,0,1935,1801,5561,17,1,3,0,610,1235,533,674,65,3951,4034,172,412,304,334,573,508,688,546,288,126,185,405,245,346,565,577,719,565,279,148,357,817,549,680,1138,1085,1407,1111,567,274,3056442.16167000000,8266.35386477000
Residential,1,HPK,HIGHLAND PARK,CENTRE,BUILT-OUT,1950s,2009,,3579,2096,171,0,578,893,230,36,411,20,0,501,0,3,2,0,0,0,0,1,369,20,508,40,0,1,0,380,16,608,45,1,75,1,195,77,484,18,16,0,0,0,0,0,0,0,0,0,28,2,49,8,0,0,0,4,1,6,1,0,0,0,20,2,42,0,0,0,1,830,460,1882,57,2,3,5,761,627,265,157,16,1958,1621,78,106,60,170,510,386,371,138,73,66,70,121,45,182,383,252,236,104,106,122,148,227,105,352,893,638,607,242,179,188,1369133.84825000000,6635.66406724000
Residential,1,MPL,MAPLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,2009,,2006,810,87,0,754,807,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,754,2005,12,0,0,0,145,342,121,176,12,1017,989,30,99,100,51,66,116,195,150,131,79,33,98,63,47,55,125,204,132,165,67,63,197,163,98,121,241,399,282,296,146,2772712.17686000000,8167.74142580000
Residential,1,ABB,ABBEYDALE,NORTHEAST,BUILT-OUT,1980s/1990s,2009,,6032,2008,542,0,1449,1420,290,0,0,230,0,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,2,105,2,0,13,0,275,205,829,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,219,110,668,11,0,0,0,1387,1132,4402,32,1,0,1,221,569,434,582,128,3120,2912,217,445,264,224,515,535,527,251,103,39,227,428,186,238,505,466,486,245,88,43,444,873,450,462,1020,1001,1013,496,191,82,1668248.06568000000,5745.72487795000
Residential,1,CHK,CHINOOK PARK,SOUTH,BUILT-OUT,1950s,2009,,1725,587,78,0,477,490,0,0,96,0,0,0,0,0,0,1,0,0,0,0,93,21,236,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,0,0,0,0,0,0,0,0,0,0,0,483,456,1349,7,0,0,1,87,204,107,169,10,793,932,29,118,65,51,60,87,145,111,42,85,35,103,70,53,81,106,167,100,50,167,64,221,135,104,141,193,312,211,92,252,582629.99122000000,3251.15498498000
Residential,1,DAL,DALHOUSIE,NORTHWEST,BUILT-OUT,1960s/1970s,2009,,9104,3710,527,0,2468,1930,307,0,862,570,0,41,0,0,0,0,0,0,0,1,817,335,1354,44,0,0,0,34,0,69,4,0,3,0,297,124,854,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,545,285,1355,24,0,0,0,1900,1724,5472,28,1,1,0,805,1301,628,782,77,4512,4592,210,503,314,532,691,654,626,455,329,198,202,447,309,482,625,636,662,514,409,306,412,950,623,1014,1316,1290,1288,969,738,504,3335932.42880000000,7592.46667367000
Residential,1,RUN,RUNDLE,NORTHEAST,BUILT-OUT,1960s/1970s,2009,,11252,3804,913,0,2297,2224,175,0,0,1111,0,293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,8,487,16,0,54,1,165,121,391,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,2,1082,350,3044,27,0,0,0,2178,1817,7324,43,0,3,1,447,1151,780,994,277,5753,5499,347,740,392,472,1007,957,845,587,285,121,385,709,391,451,918,820,791,605,276,153,732,1449,783,923,1925,1777,1636,1192,561,274,2641184.76130000000,6500.50612885000
Residential,1,CFC,CFB - CURRIE,WEST,BUILT-OUT,BUILDING OUT,2009,,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096775.49477000000,5101.63966111000
Residential,1,MEA,MEADOWLARK PARK,CENTRE,BUILT-OUT,1950s,2009,,530,276,32,0,194,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,194,530,37,0,1,0,66,90,51,28,2,257,273,13,16,9,20,25,44,49,38,12,31,14,22,10,15,25,41,50,32,20,44,27,38,19,35,50,85,99,70,32,75,644956.01335100000,3167.79900614000
Residential,1,BRI,BRIDLEWOOD,SOUTH,BUILT-OUT,2000s,2009,,10989,4088,1327,0,3236,2859,201,3,792,205,0,28,0,0,0,0,0,0,0,0,635,382,1211,20,137,0,0,27,4,50,1,0,0,0,183,149,446,6,11,1,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,195,162,481,9,0,1,0,2782,2536,8793,43,30,4,0,560,1244,821,1039,161,5456,5533,526,761,303,424,1143,1229,646,290,92,42,544,785,295,409,1264,1121,658,290,124,43,1070,1546,598,833,2407,2350,1304,580,216,85,3236846.28518000000,7128.47142227000
Residential,1,HUN,HUNTINGTON HILLS,NORTH,BUILT-OUT,1960s/1970s,2009,,13594,5563,965,0,3457,2955,557,4,527,1214,126,180,0,0,0,0,0,0,0,0,506,210,799,21,0,0,0,133,10,247,22,0,25,0,527,213,1498,30,0,0,0,126,116,250,0,0,0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,1,1135,338,2776,66,0,12,1,2903,2570,8018,49,0,2,0,1181,1944,1014,1042,152,6825,6769,401,794,413,503,1057,1077,1078,691,520,291,342,701,415,471,990,1028,1070,791,532,429,743,1495,828,974,2047,2105,2148,1482,1052,720,4766219.73316000000,10144.08294150000
Residential,1,UNI,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,1960s/1970s,2009,,2972,1379,123,0,416,431,41,0,873,12,0,21,0,0,1,0,0,0,0,4,847,12,1621,22,0,0,0,16,1,31,0,0,5,0,36,8,108,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,11,0,40,1,0,0,0,423,395,1169,8,0,0,1,369,565,200,185,15,1469,1503,39,111,82,296,321,205,151,113,70,81,53,116,91,318,276,180,165,116,102,86,92,227,173,614,597,385,316,229,172,167,811616.58795400000,4021.40793141000
Residential,1,MON,MONTGOMERY,NORTHWEST,BUILT-OUT,1950s,2009,,3795,1769,215,0,842,1073,335,0,97,61,0,188,0,7,1,2,0,5,0,0,43,0,52,0,54,0,0,146,7,258,10,0,32,0,304,164,757,16,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,289,3,0,2,0,55,1,157,3,3,0,2,992,670,2282,50,9,20,15,431,623,255,217,24,1849,1946,79,138,118,143,336,306,331,197,100,101,91,149,85,155,310,254,289,197,138,278,170,287,203,298,646,560,620,394,238,379,2951500.46075000000,7352.52930563000
Residential,1,OGD,OGDEN,SOUTHEAST,BUILT-OUT,1950s,2009,,8692,3866,584,0,2248,2161,500,0,331,550,0,315,0,4,2,1,0,2,0,0,302,0,537,29,0,0,0,239,16,393,10,0,66,0,481,256,1283,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,121,1,0,1,1,530,250,1214,19,0,0,2,2095,1725,5144,60,2,2,9,951,1426,657,534,86,4608,4084,254,438,270,323,792,709,901,505,250,166,220,375,260,291,638,609,758,469,257,207,474,813,530,614,1430,1318,1659,974,507,373,4096375.07521000000,8861.37313877000
Residential,1,KEL,KELVIN GROVE,SOUTH,BUILT-OUT,1960s/1970s,2009,,2277,903,83,0,483,354,16,0,504,26,0,1,0,0,0,2,0,0,0,0,478,101,724,26,0,0,0,0,0,0,1,0,0,0,16,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,397,0,0,0,0,23,21,47,3,0,0,0,347,345,1086,7,0,0,2,357,249,85,161,14,994,1283,24,96,76,56,102,159,152,81,79,169,29,118,70,58,102,166,144,92,123,381,53,214,146,114,204,325,296,173,202,550,756671.70345800000,3462.90035025000
Residential,1,FLN,FOREST LAWN,EAST,BUILT-OUT,1950s,2009,,7676,3349,570,0,1100,1396,329,6,223,738,58,584,0,10,2,0,2,1,0,0,207,8,373,16,0,0,0,500,19,1021,17,0,67,0,311,99,866,14,2,2,0,49,38,68,9,0,0,0,4,0,6,2,0,0,0,15,7,83,0,0,0,0,640,63,1780,95,0,3,3,1343,866,3479,42,0,8,15,682,1219,584,474,110,4313,3363,219,331,194,320,745,819,810,492,258,125,246,310,151,321,588,547,528,380,181,111,465,641,345,641,1333,1366,1338,872,439,236,2316963.31014000000,6520.72458715000
Residential,1,MRT,MARTINDALE,NORTHEAST,BUILT-OUT,1980s/1990s,2009,,12406,3696,1427,0,2955,3400,52,0,0,149,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10,184,12,0,15,0,52,41,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,137,308,2,0,0,0,3242,2767,11733,98,57,3,0,329,754,762,1223,441,6404,6002,615,1100,434,446,1115,1181,866,390,195,62,523,951,389,400,1149,1123,765,413,214,75,1138,2051,823,846,2264,2304,1631,803,409,137,2716743.79769000000,6713.93299753000
Residential,1,HAR,HARVEST HILLS,NORTH,BUILT-OUT,1980s/1990s,2009,,7434,2558,605,0,2313,2095,106,0,165,182,0,9,0,0,0,1,0,0,0,0,149,120,236,13,0,3,0,7,4,10,0,0,2,0,101,95,177,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,179,161,365,3,0,0,0,2066,1933,6586,28,0,1,1,329,778,513,797,86,3684,3750,229,581,306,189,457,754,653,288,153,74,235,552,273,207,486,849,589,306,155,98,464,1133,579,396,943,1603,1242,594,308,172,2209338.32544000000,6385.97605747000
Residential,1,BRE,BRENTWOOD,NORTHWEST,BUILT-OUT,1960s/1970s,2009,,6066,2574,280,0,1698,1980,0,83,205,240,0,66,0,0,0,0,0,0,0,1,198,7,285,6,0,0,0,55,3,111,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3,115,7,0,0,0,0,0,0,0,0,0,1,191,0,390,48,0,0,0,1949,1685,5165,28,1,2,0,602,936,370,514,47,3029,3037,114,260,184,390,449,423,449,277,240,243,96,260,211,289,384,386,466,289,318,338,210,520,395,679,833,809,915,566,558,581,2890587.24345000000,8008.90022457000
Residential,1,PAL,PALLISER,SOUTH,BUILT-OUT,1960s/1970s,2009,,3220,1707,137,0,1071,468,184,156,578,319,0,2,0,0,0,0,0,0,0,0,542,195,798,36,0,0,0,2,0,5,0,0,0,0,177,172,311,7,0,0,0,0,0,0,0,0,0,0,142,0,256,14,0,0,0,0,0,0,0,0,0,0,317,265,590,2,0,0,0,462,439,1260,5,0,1,0,649,662,156,158,17,1527,1693,58,151,74,80,167,186,218,200,193,200,41,112,60,86,189,183,230,238,245,309,99,263,134,166,356,369,448,438,438,509,987414.89447100000,4048.18054713000
Residential,1,BRT,BRITANNIA,CENTRE,BUILT-OUT,1950s,2009,,736,313,39,0,263,256,0,0,57,0,0,0,0,0,0,0,0,0,0,0,52,25,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,238,666,7,6,1,0,73,110,35,72,4,359,377,11,39,43,17,8,22,79,76,33,31,13,40,38,22,11,32,85,64,31,41,24,79,81,39,19,54,164,140,64,72,503168.32270900000,3216.47020836000
Residential,1,WBN,WOODBINE,SOUTH,BUILT-OUT,1980s/1990s,2009,,9557,3370,596,0,3001,2931,82,0,0,342,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,0,0,2,0,81,60,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,256,721,9,0,0,0,2889,2685,8609,38,3,1,0,363,1154,739,972,88,4823,4734,240,572,437,431,504,576,942,782,252,87,227,520,402,348,492,613,1083,721,226,102,467,1092,839,779,996,1189,2025,1503,478,189,3180369.08604000000,9477.64061180000
Residential,1,VAR,VARSITY,NORTHWEST,BUILT-OUT,1960s/1970s,2009,,12158,5497,505,0,3459,2607,169,0,1775,893,0,51,0,0,1,0,0,1,0,5,1649,524,2708,121,0,0,0,46,5,80,1,0,4,0,162,78,437,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,842,534,1661,51,0,0,1,2558,2318,7271,41,1,6,2,1577,1944,723,925,89,5912,6246,199,511,405,723,898,668,819,697,521,471,202,503,397,750,793,646,920,679,682,674,401,1014,802,1473,1691,1314,1739,1376,1203,1145,6848981.30579000000,11791.02312870000
