id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,URL,Ward
154,175 HUNTERHORN DR NE,175 HUNTERHORN DR NE,HUNTINGTON HILLS,2015\/03\/02,2015\/02\/18,BP2013-14596,306,https:\/\/secondarysuites.calgary.ca,04
155,176 SKYVIEW POINT RD NE,176 SKYVIEW POINT RD NE,SKYVIEW RANCH,2015\/04\/15,2015\/04\/15,BP2014-14868,376,https:\/\/secondarysuites.calgary.ca,03
156,177 COVEHAVEN VW NE,177 COVEHAVEN VW NE,COVENTRY HILLS,2014\/05\/26,2014\/05\/12,BP2013-00480,239,https:\/\/secondarysuites.calgary.ca,03
157,177 HARVEST ROSE CI NE,177 HARVEST ROSE CI NE,HARVEST HILLS,2016\/02\/25,2016\/02\/25,BP2015-14171,484,https:\/\/secondarysuites.calgary.ca,03
158,178R CRANFIELD GR SE,178 CRANFIELD GR SE,CRANSTON,2016\/05\/13,2016\/04\/25,BP2014-18323,583,https:\/\/secondarysuites.calgary.ca,14
159,179 SKYVIEW SPRINGS GD NE,179 SKYVIEW SPRINGS GD NE,SKYVIEW RANCH,2015\/07\/10,2015\/07\/09,BP2013-02010,247,https:\/\/secondarysuites.calgary.ca,03
160,17G MARY DOVER DR SW,17G MARY DOVER DR SW,CFB - CURRIE,2013\/01\/08,2013\/01\/08,BP2010-12480,32,https:\/\/secondarysuites.calgary.ca,11
161,17G MURMANSK WY SW,17G MURMANSK WY SW,CFB - CURRIE,2012\/01\/13,2012\/01\/12,BP2010-06963,19,https:\/\/secondarysuites.calgary.ca,11
162,18 MAHOGANY PS SE,18 MAHOGANY PS SE,MAHOGANY,2016\/02\/17,2016\/01\/08,BP2015-15944,462,https:\/\/secondarysuites.calgary.ca,12
163,180 CASTLEGREEN CL NE,180 CASTLEGREEN CL NE,CASTLERIDGE,2013\/07\/12,2013\/07\/12,BP2013-03193,266,https:\/\/secondarysuites.calgary.ca,05
164,180 FALCONRIDGE CR NE,180 FALCONRIDGE CR NE,FALCONRIDGE,2015\/06\/02,2015\/05\/08,BP2015-00649,427,https:\/\/secondarysuites.calgary.ca,05
165,1811 4 ST NW,1811 4 ST NW,MOUNT PLEASANT,2014\/08\/21,2014\/07\/28,BP2013-18912,332,https:\/\/secondarysuites.calgary.ca,04
166,1818G BROADVIEW RD NW,1818G BROADVIEW RD NW,HILLHURST,2012\/01\/04,2011\/10\/28,BP2011-01378,50,https:\/\/secondarysuites.calgary.ca,07
167,1823 42 ST SE,1823 42 ST SE,FOREST LAWN,2016\/02\/04,2016\/02\/04,BP2015-13708,475,https:\/\/secondarysuites.calgary.ca,09
168,1831 38 ST SE,1831 38 ST SE,FOREST LAWN,2016\/09\/07,2016\/09\/07,BP2016-05088,580,https:\/\/secondarysuites.calgary.ca,09
169,1832 17 AV NW,1832 17 AV NW,CAPITOL HILL,2016\/07\/06,2016\/07\/06,BP2015-16072,547,https:\/\/secondarysuites.calgary.ca,07
170,1836 43 ST SE,1836 43 ST SE,FOREST LAWN,2010\/12\/22,2010\/12\/20,BP2010-06189,18,https:\/\/secondarysuites.calgary.ca,09
171,184 TARADALE DR NE,184 TARADALE DR NE,TARADALE,2015\/07\/07,2015\/07\/07,BP2014-16203,422,https:\/\/secondarysuites.calgary.ca,03
172,185R PANTON WY NW,185 PANTON WY NW,PANORAMA HILLS,2014\/01\/21,2014\/01\/21,BP2013-12731,297,https:\/\/secondarysuites.calgary.ca,03
173,186R SHERWOOD MT NW,186 SHERWOOD MT NW,SHERWOOD,2012\/09\/28,2012\/09\/26,BP2012-00667,42,https:\/\/secondarysuites.calgary.ca,02
174,187G SUNMILLS DR SE,187G SUNMILLS DR SE,SUNDANCE,2013\/01\/11,2013\/01\/11,BP2012-08109,167,https:\/\/secondarysuites.calgary.ca,14
175,189 EVANSDALE LD NW,189 EVANSDALE LD NW,EVANSTON,2015\/12\/09,2015\/12\/08,BP2015-01880,452,https:\/\/secondarysuites.calgary.ca,02
176,18R WALDEN CO SE,18 WALDEN CO SE,WALDEN,2013\/06\/04,2013\/06\/04,BP2013-02652,257,https:\/\/secondarysuites.calgary.ca,14
177,18R WALDEN CR SE,18 WALDEN CR SE,WALDEN,2014\/02\/06,2014\/02\/06,BP2013-03074,270,https:\/\/secondarysuites.calgary.ca,14
178,19 ELGIN MEADOWS RD SE,19 ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2015\/08\/12,2015\/08\/12,BP2015-01155,425,https:\/\/secondarysuites.calgary.ca,12
179,190 ERIN CI SE,190 ERIN CI SE,ERIN WOODS,2016\/04\/25,2016\/04\/01,BP2016-02038,504,https:\/\/secondarysuites.calgary.ca,09
180,1904 62 AV SE,1904 62 AV SE,OGDEN,2014\/08\/21,2014\/07\/25,BP2013-18171,320,https:\/\/secondarysuites.calgary.ca,09
181,192 SUNVALE CR SE,192 SUNVALE CR SE,SUNDANCE,2014\/04\/30,2014\/04\/30,BP2014-03292,346,https:\/\/secondarysuites.calgary.ca,14
182,1927 WESTMOUNT RD NW,1927 WESTMOUNT RD NW,WEST HILLHURST,2016\/02\/05,2016\/02\/05,BP2015-14996,477,https:\/\/secondarysuites.calgary.ca,07
183,1928G 47 AV SW,1928G 47 AV SW,ALTADORE,2014\/03\/28,2014\/03\/28,BP2012-06500,136,https:\/\/secondarysuites.calgary.ca,11
184,1936G 27 ST SW,1936G 27 ST SW,KILLARNEY\/GLENGARRY,2014\/03\/05,2014\/03\/05,BP2012-16968,231,https:\/\/secondarysuites.calgary.ca,08
185,196 HARTFORD RD NW,196 HARTFORD RD NW,HIGHWOOD,2012\/03\/13,2012\/03\/13,BP2011-12998,93,https:\/\/secondarysuites.calgary.ca,04
186,199 ARBOUR SUMMIT CL NW,199 ARBOUR SUMMIT CL NW,ARBOUR LAKE,2013\/09\/27,2013\/09\/25,BP2013-08261,288,https:\/\/secondarysuites.calgary.ca,02
187,199B GALBRAITH DR SW,199 GALBRAITH DR SW,GLAMORGAN,2014\/06\/11,2014\/06\/11,BP2011-13627,99,https:\/\/secondarysuites.calgary.ca,11
188,1G MURMANSK WY SW,1G MURMANSK WY SW,CFB - CURRIE,2011\/12\/15,2011\/12\/15,BP2010-07749,20,https:\/\/secondarysuites.calgary.ca,11
189,2 SKYVIEW POINT HE NE,126 SKYVIEW RANCH ST NE,SKYVIEW RANCH,2012\/12\/14,2012\/12\/13,BP2012-11573,186,https:\/\/secondarysuites.calgary.ca,03
190,20 BEACHAM RD NW,20 BEACHAM RD NW,BEDDINGTON HEIGHTS,2015\/12\/23,2015\/12\/23,BP2015-12232,460,https:\/\/secondarysuites.calgary.ca,04
191,20 BRIDLERIDGE LN SW,20 BRIDLERIDGE LN SW,BRIDLEWOOD,2016\/05\/10,2016\/04\/26,BP2015-01738,516,https:\/\/secondarysuites.calgary.ca,13
192,20 WOODFIELD GR SW,20 WOODFIELD GR SW,WOODBINE,2014\/07\/22,2014\/06\/25,BP2013-08838,289,https:\/\/secondarysuites.calgary.ca,13
193,2002 25A ST SW,2002 25A ST SW,RICHMOND,2015\/09\/04,2015\/09\/04,BP2014-07591,364,https:\/\/secondarysuites.calgary.ca,08
194,2006 23 AV NW,2006 23 AV NW,BANFF TRAIL,2016\/01\/29,2016\/01\/29,BP2015-13418,471,https:\/\/secondarysuites.calgary.ca,07
195,2008G 32 AV SW,2008G 32 AV SW,SOUTH CALGARY,2012\/12\/04,2012\/11\/29,BP2011-11046,90,https:\/\/secondarysuites.calgary.ca,08
196,2022 42 ST SE,2022 42 ST SE,FOREST LAWN,2013\/12\/06,2013\/11\/07,BP2013-07035,282,https:\/\/secondarysuites.calgary.ca,09
197,2028 33 ST SW,2028 33 ST SW,KILLARNEY\/GLENGARRY,2015\/04\/01,2015\/03\/10,BP2013-15309,308,https:\/\/secondarysuites.calgary.ca,08
198,2028 48 AV SW,2028 48 AV SW,ALTADORE,2015\/06\/29,2015\/06\/10,BP2014-19332,492,https:\/\/secondarysuites.calgary.ca,11
199,2029 38 ST SE,2029 38 ST SE,FOREST LAWN,2014\/06\/23,2014\/06\/23,BP2014-05323,341,https:\/\/secondarysuites.calgary.ca,09
200,203 TARALAKE WY NE,203 TARALAKE WY NE,TARADALE,2012\/12\/04,2012\/12\/04,BP2012-06183,139,https:\/\/secondarysuites.calgary.ca,03
201,204 BERMUDA DR NW,204 BERMUDA DR NW,BEDDINGTON HEIGHTS,2011\/10\/17,2011\/10\/14,BP2010-15059,39,https:\/\/secondarysuites.calgary.ca,04
202,2040 41 AV SW,2040 41 AV SW,ALTADORE,2016\/04\/07,2016\/04\/07,BP2015-08731,508,https:\/\/secondarysuites.calgary.ca,11
203,2040 9 AV SE,2040 9 AV SE,INGLEWOOD,2014\/04\/01,2014\/03\/31,BP2013-16987,329,https:\/\/secondarysuites.calgary.ca,09
204,2040G 27 ST SW,2040G 27 ST SW,KILLARNEY\/GLENGARRY,2013\/07\/19,2013\/07\/17,BP2012-02540,134,https:\/\/secondarysuites.calgary.ca,08
205,2050 48 AV SW,2050 48 AV SW,ALTADORE,2014\/04\/03,2014\/03\/19,BP2013-04204,277,https:\/\/secondarysuites.calgary.ca,11
206,207 SADDLEBROOK CI NE,207 SADDLEBROOK CI NE,SADDLE RIDGE,2014\/12\/09,2014\/12\/09,BP2014-04397,363,https:\/\/secondarysuites.calgary.ca,03
207,208R SHAWINIGAN PL SW,208 SHAWINIGAN PL SW,SHAWNESSY,2016\/05\/10,2016\/05\/03,BP2016-00670,518,https:\/\/secondarysuites.calgary.ca,13
208,209 CITYSCAPE GD NE,209 CITYSCAPE GD NE,CITYSCAPE,2016\/08\/17,2016\/08\/17,BP2016-00996,569,https:\/\/secondarysuites.calgary.ca,03
209,209 ERIN WOODS DR SE,207 ERIN WOODS DR SE,ERIN WOODS,2014\/11\/14,2014\/11\/14,BP2013-06814,280,https:\/\/secondarysuites.calgary.ca,09
210,20G DIEPPE DR SW,20G DIEPPE DR SW,CFB - CURRIE,2015\/01\/05,2014\/12\/04,BP2014-03892,343,https:\/\/secondarysuites.calgary.ca,11
211,20G HONG KONG RD SW,20G HONG KONG RD SW,CFB - CURRIE,2015\/08\/17,2015\/08\/17,BP2014-14113,383,https:\/\/secondarysuites.calgary.ca,11
212,21 REDSTONE MR NE,21 REDSTONE MR NE,REDSTONE,2016\/02\/19,2016\/02\/19,BP2015-06137,487,https:\/\/secondarysuites.calgary.ca,03
213,2103 20 AV SW,2103 20 AV SW,RICHMOND,2015\/03\/18,2015\/03\/18,BP2014-05360,351,https:\/\/secondarysuites.calgary.ca,08
214,2115 5 ST SW,2115 5 ST SW,CLIFF BUNGALOW,2014\/05\/12,2014\/04\/25,BP2012-17177,233,https:\/\/secondarysuites.calgary.ca,08
215,212 11 ST NW,212 11 ST NW,HILLHURST,2014\/12\/04,2014\/11\/12,BP2014-13232,380,https:\/\/secondarysuites.calgary.ca,07
216,212 COVEMEADOW CO NE,212 COVEMEADOW CO NE,COVENTRY HILLS,2016\/01\/22,2016\/01\/22,BP2015-15894,467,https:\/\/secondarysuites.calgary.ca,03
217,2128G 58 AV SW,2128G 58 AV SW,NORTH GLENMORE PARK,2015\/03\/09,2015\/02\/20,BP2014-06693,372,https:\/\/secondarysuites.calgary.ca,11
218,2135G BROADVIEW RD NW,2135G BROADVIEW RD NW,WEST HILLHURST,2013\/04\/26,2013\/04\/24,BP2010-14499,38,https:\/\/secondarysuites.calgary.ca,07
219,2140G 6 AV NW,2140G 6 AV NW,WEST HILLHURST,2014\/03\/31,2014\/03\/31,BP2013-14086,310,https:\/\/secondarysuites.calgary.ca,07
220,216 SHAWMEADOWS RD SW,216 SHAWMEADOWS RD SW,SHAWNESSY,2011\/08\/19,2011\/08\/18,BP2011-01068,48,https:\/\/secondarysuites.calgary.ca,13
221,217 WALDEN SQ SE,217 WALDEN SQ SE,WALDEN,2014\/06\/24,2014\/06\/02,BP2013-18962,336,https:\/\/secondarysuites.calgary.ca,14
222,217A 11A ST NE,217 11A ST NE,BRIDGELAND\/RIVERSIDE,2016\/08\/16,2016\/08\/16,BP2016-06307,567,https:\/\/secondarysuites.calgary.ca,04
223,218 COVECREEK CO NE,218 COVECREEK CO NE,COVENTRY HILLS,2012\/01\/31,2012\/01\/31,BP2012-00844,119,https:\/\/secondarysuites.calgary.ca,03
224,22 WALDEN CR SE,22 WALDEN CR SE,WALDEN,2013\/07\/05,2013\/07\/05,BP2013-03573,272,https:\/\/secondarysuites.calgary.ca,14
225,220 COVINGTON RD NE,220 COVINGTON RD NE,COVENTRY HILLS,2014\/09\/19,2014\/08\/28,BP2013-06020,264,https:\/\/secondarysuites.calgary.ca,03
226,2201 BRIGHTONCREST GR SE,2199 BRIGHTONCREST GR SE,NEW BRIGHTON,2016\/02\/17,2016\/01\/26,BP2015-09651,489,https:\/\/secondarysuites.calgary.ca,12
227,2212G 26 AV SW,2212G 26 AV SW,RICHMOND,2013\/10\/04,2013\/10\/04,BP2013-05717,265,https:\/\/secondarysuites.calgary.ca,08
228,2220 36 ST SW,2220 36 ST SW,KILLARNEY\/GLENGARRY,2016\/07\/15,2016\/07\/15,BP2016-01180,554,https:\/\/secondarysuites.calgary.ca,08
229,2220 37 ST SW,2220 37 ST SW,KILLARNEY\/GLENGARRY,2014\/05\/15,2014\/05\/14,BP2013-13379,294,https:\/\/secondarysuites.calgary.ca,08
230,2224 35 ST SW,2224 35 ST SW,KILLARNEY\/GLENGARRY,2012\/12\/09,2012\/12\/07,BP2012-03240,146,https:\/\/secondarysuites.calgary.ca,08
231,224 12A ST NE,224 12A ST NE,BRIDGELAND\/RIVERSIDE,2013\/02\/08,2013\/02\/06,BP2012-16633,225,https:\/\/secondarysuites.calgary.ca,04
232,2241 25 ST SW,2241 25 ST SW,RICHMOND,2012\/11\/06,2012\/11\/06,BP2012-02233,133,https:\/\/secondarysuites.calgary.ca,08
233,227 MCKENZIE TOWNE DR SE,227 MCKENZIE TOWNE DR SE,MCKENZIE TOWNE,2015\/12\/21,2015\/12\/21,BP2015-12896,459,https:\/\/secondarysuites.calgary.ca,12
234,227R 24 AV NE,227 24 AV NE,TUXEDO PARK,2013\/01\/22,2013\/01\/21,BP2012-03035,141,https:\/\/secondarysuites.calgary.ca,04
235,227R 7A ST NE,227 7A ST NE,BRIDGELAND\/RIVERSIDE,2016\/05\/03,2016\/04\/11,BP2015-14633,509,https:\/\/secondarysuites.calgary.ca,04
236,22R DOUGLAS WOODS WY SE,22 DOUGLAS WOODS WY SE,DOUGLASDALE ESTATES,2013\/12\/24,2013\/12\/23,BP2013-10140,303,https:\/\/secondarysuites.calgary.ca,12
237,23 BEARBERRY CL NW,23 BEARBERRY CL NW,BEDDINGTON HEIGHTS,2016\/05\/25,2016\/05\/25,BP2015-14295,529,https:\/\/secondarysuites.calgary.ca,04
238,2301G 6 AV NW,2301G 6 AV NW,WEST HILLHURST,2016\/08\/05,2016\/08\/05,BP2015-13226,564,https:\/\/secondarysuites.calgary.ca,07
239,2306 6 AV NW,2306 6 AV NW,WEST HILLHURST,2013\/06\/04,2013\/06\/04,BP2012-07808,164,https:\/\/secondarysuites.calgary.ca,07
240,231 PRESTWICK LD SE,231 PRESTWICK LD SE,MCKENZIE TOWNE,2015\/03\/16,2015\/02\/20,BP2014-00888,339,https:\/\/secondarysuites.calgary.ca,14
241,2324G 6 AV NW,2324G 6 AV NW,WEST HILLHURST,2012\/04\/27,2012\/04\/25,BP2011-07665,73,https:\/\/secondarysuites.calgary.ca,07
242,2331 22 ST NW,2331 22 ST NW,BANFF TRAIL,2012\/10\/16,2012\/10\/16,BP2011-01097,438,https:\/\/secondarysuites.calgary.ca,07
243,2356R 23 ST NW,2356 23 ST NW,BANFF TRAIL,2012\/04\/03,2012\/04\/03,BP2011-07128,66,https:\/\/secondarysuites.calgary.ca,07
244,236 KINCORA DR NW,236 KINCORA DR NW,SYMONS VALLEY,2015\/04\/09,2015\/03\/18,BP2014-13617,375,https:\/\/secondarysuites.calgary.ca,02
245,238 3 AV NE,238 3 AV NE,CRESCENT HEIGHTS,2015\/03\/09,2015\/02\/12,BP2014-03133,355,https:\/\/secondarysuites.calgary.ca,07
246,238 ERIN DALE PL SE,236 ERIN DALE PL SE,ERIN WOODS,2012\/09\/21,2012\/09\/21,BP2012-05483,154,https:\/\/secondarysuites.calgary.ca,09
247,23G BENY-SUR-MER RD SW,23G BENY-SUR-MER RD SW,CFB - CURRIE,2011\/07\/27,2011\/07\/26,BP2010-11551,36,https:\/\/secondarysuites.calgary.ca,11
248,23G TOMMY PRINCE RD SW,23G TOMMY PRINCE RD SW,CFB - CURRIE,2012\/02\/14,2012\/02\/13,BP2011-02080,51,https:\/\/secondarysuites.calgary.ca,11
249,24 SKYVIEW POINT CR NE,24 SKYVIEW POINT CR NE,SKYVIEW RANCH,2016\/08\/22,2016\/08\/22,BP2015-15433,571,https:\/\/secondarysuites.calgary.ca,03
250,2411 23 ST NW,2411 23 ST NW,BANFF TRAIL,2012\/12\/09,2012\/12\/06,BP2012-10085,175,https:\/\/secondarysuites.calgary.ca,07
251,2412G 6 ST NW,2412G 6 ST NW,MOUNT PLEASANT,2015\/09\/02,2015\/08\/12,BP2014-14524,381,https:\/\/secondarysuites.calgary.ca,04
252,2416 37 ST SW,2416 37 ST SW,KILLARNEY\/GLENGARRY,2012\/02\/24,2012\/02\/22,BP2011-13246,94,https:\/\/secondarysuites.calgary.ca,08
253,2418 32 ST SW,2418 32 ST SW,KILLARNEY\/GLENGARRY,2015\/10\/30,2015\/10\/30,BP2015-08881,511,https:\/\/secondarysuites.calgary.ca,08
254,2420 6 ST NE,2420 6 ST NE,WINSTON HEIGHTS\/MOUNTVIEW,2009\/08\/06,2009\/07\/29,BP2009-06206,3,https:\/\/secondarysuites.calgary.ca,04
255,2428R 27 AV NW,2428 27 AV NW,BANFF TRAIL,2012\/07\/13,2012\/07\/11,BP2011-02805,56,https:\/\/secondarysuites.calgary.ca,07
256,243 ARBOUR MEADOWS CL NW,243 ARBOUR MEADOWS CL NW,ARBOUR LAKE,2015\/03\/02,2015\/02\/06,BP2014-01739,338,https:\/\/secondarysuites.calgary.ca,02
257,243 AUBURN BAY BV SE,243 AUBURN BAY BV SE,AUBURN BAY,2013\/02\/15,2013\/02\/14,BP2012-08513,169,https:\/\/secondarysuites.calgary.ca,12
258,244R NEW BRIGHTON DR SE,244 NEW BRIGHTON DR SE,NEW BRIGHTON,2014\/01\/10,2014\/01\/10,BP2013-00919,242,https:\/\/secondarysuites.calgary.ca,12
259,248 SADDLEBROOK WY NE,250 SADDLEBROOK WY NE,SADDLE RIDGE,2014\/03\/24,2014\/03\/24,BP2013-00695,201,https:\/\/secondarysuites.calgary.ca,03
260,249 SILVERADO WY SW,249 SILVERADO WY SW,SILVERADO,2016\/02\/17,2016\/01\/12,BP2011-10498,488,https:\/\/secondarysuites.calgary.ca,13
261,250 MARTINDALE DR NE,250 MARTINDALE DR NE,MARTINDALE,2014\/01\/30,2014\/01\/30,BP2013-09946,292,https:\/\/secondarysuites.calgary.ca,05
262,2504 MORLEY TR NW,2504 MORLEY TR NW,BANFF TRAIL,2011\/08\/26,2011\/08\/25,BP2011-01156,49,https:\/\/secondarysuites.calgary.ca,07
263,2506 21 ST SW,2506 21 ST SW,RICHMOND,2011\/12\/14,2011\/12\/07,BP2011-03337,15,https:\/\/secondarysuites.calgary.ca,08
264,2520 16A ST SW,2520 16A ST SW,BANKVIEW,2014\/05\/26,2014\/05\/23,BP2013-13886,311,https:\/\/secondarysuites.calgary.ca,08
265,2526 19 ST SW,2526 19 ST SW,BANKVIEW,2011\/09\/14,2011\/09\/13,BP2010-09519,436,https:\/\/secondarysuites.calgary.ca,08
266,2528 11 AV SE,2526 11 AV SE,ALBERT PARK\/RADISSON HEIGHTS,2016\/07\/06,2016\/06\/14,BP2016-00842,539,https:\/\/secondarysuites.calgary.ca,10
267,256R SAGE BANK GV NW,256 SAGE BANK GV NW,SAGE HILL,2012\/06\/01,2012\/05\/30,BP2012-02702,140,https:\/\/secondarysuites.calgary.ca,02
268,258R DOUGLAS GLEN HE SE,258 DOUGLAS GLEN HE SE,DOUGLAS GLEN,2016\/08\/31,2016\/08\/31,BP2016-06810,577,https:\/\/secondarysuites.calgary.ca,12
269,25G MARY DOVER DR SW,25G MARY DOVER DR SW,CFB - CURRIE,2011\/07\/29,2011\/07\/22,BP2010-13875,33,https:\/\/secondarysuites.calgary.ca,11
270,26 WALDEN CR SE,26 WALDEN CR SE,WALDEN,2013\/03\/22,2013\/03\/20,BP2012-17008,230,https:\/\/secondarysuites.calgary.ca,14
271,2603 14A ST SW,1501 25 AV SW,BANKVIEW,2016\/08\/19,2016\/08\/19,BP2015-15403,570,https:\/\/secondarysuites.calgary.ca,08
272,261 23 AV NE,261 23 AV NE,TUXEDO PARK,2014\/08\/28,2014\/08\/28,BP2013-15035,312,https:\/\/secondarysuites.calgary.ca,04
273,261 WALDEN SQ SE,261 WALDEN SQ SE,WALDEN,2016\/05\/10,2016\/03\/16,BP2015-15740,495,https:\/\/secondarysuites.calgary.ca,14
274,2617R 44 ST SE,2617 44 ST SE,FOREST LAWN,2016\/07\/25,2016\/07\/25,BP2016-01160,557,https:\/\/secondarysuites.calgary.ca,09
275,261R ARBOUR GROVE CL NW,261 ARBOUR GROVE CL NW,ARBOUR LAKE,2011\/06\/27,2011\/06\/21,BP2011-06261,74,https:\/\/secondarysuites.calgary.ca,02
276,2628 30 ST SW,2626 30 ST SW,KILLARNEY\/GLENGARRY,2013\/02\/05,2013\/02\/05,BP2012-10727,179,https:\/\/secondarysuites.calgary.ca,08
277,263 CRANFORD CM SE,263 CRANFORD CM SE,CRANSTON,2015\/11\/04,2015\/11\/04,BP2015-02205,454,https:\/\/secondarysuites.calgary.ca,12
278,2632 36 ST SW,2632 36 ST SW,KILLARNEY\/GLENGARRY,2012\/05\/29,2012\/05\/28,BP2011-03637,59,https:\/\/secondarysuites.calgary.ca,08
279,265 SADDLELAKE DR NE,265 SADDLELAKE DR NE,SADDLE RIDGE,2013\/07\/19,2013\/07\/17,BP2013-06458,279,https:\/\/secondarysuites.calgary.ca,03
280,267 NORTHMOUNT DR NW,267 NORTHMOUNT DR NW,THORNCLIFFE,2013\/10\/22,2013\/10\/22,BP2012-07337,160,https:\/\/secondarysuites.calgary.ca,04
281,269 WALDEN SQ SE,269 WALDEN SQ SE,WALDEN,2016\/01\/14,2016\/01\/14,BP2015-15093,464,https:\/\/secondarysuites.calgary.ca,14
282,26R WALDEN CO SE,26 WALDEN CO SE,WALDEN,2011\/08\/12,2011\/08\/11,BP2010-13494,28,https:\/\/secondarysuites.calgary.ca,14
283,27 EVERWOODS CL SW,25 EVERWOODS CL SW,EVERGREEN,2011\/08\/03,2011\/08\/02,BP2011-04020,81,https:\/\/secondarysuites.calgary.ca,13
284,27 PRESTWICK ST SE,27 PRESTWICK ST SE,MCKENZIE TOWNE,2016\/08\/24,2016\/08\/24,BP2016-01142,574,https:\/\/secondarysuites.calgary.ca,12
285,27 STRATHCLAIR RI SW,27 STRATHCLAIR RI SW,STRATHCONA PARK,2015\/02\/24,2015\/02\/24,BP2014-14678,382,https:\/\/secondarysuites.calgary.ca,06
286,27 TARALAKE ST NE,27 TARALAKE ST NE,TARADALE,2014\/06\/13,2014\/06\/12,BP2013-07290,285,https:\/\/secondarysuites.calgary.ca,03
287,2708 12 AV SE,2708 12 AV SE,ALBERT PARK\/RADISSON HEIGHTS,2014\/09\/30,2014\/09\/30,BP2013-18264,327,https:\/\/secondarysuites.calgary.ca,10
288,2715R MORLEY TR NW,2715 MORLEY TR NW,BANFF TRAIL,2013\/03\/26,2013\/03\/25,BP2012-10112,176,https:\/\/secondarysuites.calgary.ca,07
289,272 CEDARWOOD RD SW,272 CEDARWOOD RD SW,CEDARBRAE,2014\/12\/05,2014\/10\/20,BP2014-07109,370,https:\/\/secondarysuites.calgary.ca,11
290,272 MT APEX GR SE,272 MT APEX GR SE,MCKENZIE LAKE,2016\/05\/31,2016\/05\/09,BP2016-01719,521,https:\/\/secondarysuites.calgary.ca,14
291,2736 10 AV SE,2736 10 AV SE,ALBERT PARK\/RADISSON HEIGHTS,2012\/09\/14,2012\/09\/13,BP2010-15156,16,https:\/\/secondarysuites.calgary.ca,10
292,2736 11 AV SE,2736 11 AV SE,ALBERT PARK\/RADISSON HEIGHTS,2015\/02\/26,2015\/02\/26,BP2014-08647,373,https:\/\/secondarysuites.calgary.ca,10
293,2738 6 AV NW,2736 6 AV NW,WEST HILLHURST,2012\/04\/17,2012\/02\/17,BP2011-14098,101,https:\/\/secondarysuites.calgary.ca,07
294,276 EVERBROOK WY SW,276 EVERBROOK WY SW,EVERGREEN,2012\/01\/27,2012\/01\/26,BP2012-00334,116,https:\/\/secondarysuites.calgary.ca,13
295,2772 SIGNAL HILL DR SW,2772 SIGNAL HILL DR SW,SIGNAL HILL,2016\/04\/25,2016\/04\/25,BP2015-13772,515,https:\/\/secondarysuites.calgary.ca,06
296,27G DIEPPE DR SW,27G DIEPPE DR SW,CFB - CURRIE,2013\/12\/20,2013\/12\/18,BP2013-03830,249,https:\/\/secondarysuites.calgary.ca,11
297,27G HONG KONG RD SW,27G HONG KONG RD SW,CFB - CURRIE,2012\/09\/07,2012\/09\/06,BP2012-00766,120,https:\/\/secondarysuites.calgary.ca,11
298,28 BEDDINGTON RD NE,28 BEDDINGTON RD NE,BEDDINGTON HEIGHTS,2016\/05\/31,2016\/05\/31,BP2016-01275,533,https:\/\/secondarysuites.calgary.ca,04
299,28 REDSTONE DR NE,28 REDSTONE DR NE,REDSTONE,2016\/05\/05,2016\/05\/05,BP2016-00629,519,https:\/\/secondarysuites.calgary.ca,03
300,28 ROYAL OAK TC NW,28 ROYAL OAK TC NW,ROYAL OAK,2013\/05\/03,2013\/05\/01,BP2012-16661,227,https:\/\/secondarysuites.calgary.ca,01
301,2808 16 AV SE,2808 16 AV SE,ALBERT PARK\/RADISSON HEIGHTS,2016\/08\/02,2016\/08\/02,BP2015-13796,562,https:\/\/secondarysuites.calgary.ca,10
302,2811 19 ST SW,2811 19 ST SW,SOUTH CALGARY,2015\/12\/16,2015\/12\/16,BP2015-09774,456,https:\/\/secondarysuites.calgary.ca,08
303,2827 34 ST SW,2827 34 ST SW,KILLARNEY\/GLENGARRY,2012\/05\/15,2012\/05\/14,BP2012-00060,114,https:\/\/secondarysuites.calgary.ca,08
304,2828 40 ST SW,2828 40 ST SW,GLENBROOK,2016\/03\/14,2016\/03\/14,BP2015-12333,494,https:\/\/secondarysuites.calgary.ca,06
305,2828 42 ST SW,2828 42 ST SW,GLENBROOK,2011\/12\/23,2011\/12\/22,BP2011-05244,65,https:\/\/secondarysuites.calgary.ca,06
306,288R EVERSYDE WY SW,288 EVERSYDE WY SW,EVERGREEN,2013\/04\/23,2013\/04\/23,BP2012-16667,226,https:\/\/secondarysuites.calgary.ca,13
307,28B RANCHERO RI NW,28 RANCHERO RI NW,RANCHLANDS,2012\/06\/08,2012\/06\/06,BP2012-01346,122,https:\/\/secondarysuites.calgary.ca,02
308,28G HONG KONG RD SW,28G HONG KONG RD SW,CFB - CURRIE,2015\/02\/26,2015\/02\/20,BP2012-11972,203,https:\/\/secondarysuites.calgary.ca,11
309,2G MURMANSK WY SW,2G MURMANSK WY SW,CFB - CURRIE,2011\/08\/31,2011\/08\/30,BP2010-12488,37,https:\/\/secondarysuites.calgary.ca,11
310,3 NOLANFIELD WY NW,5 NOLANFIELD WY NW,NOLAN HILL,2015\/04\/20,2015\/04\/20,BP2014-04409,347,https:\/\/secondarysuites.calgary.ca,02
