"Date","Vehicle ID","Vehicle Type","KM Trvld"
"2016/05/05 00:00:00","RE9417 (11138-PC)","Sweeper","48"
"2016/04/30 00:00:00","RE9402 (11154-PC)","Sweeper","2"
"2016/04/09 00:00:00","RE9405 (11153-PC)","Sweeper","113"
"2016/04/17 00:00:00","RE9405 (11153-PC)","Sweeper","1"
"2016/04/03 00:00:00","RE9418 (11140-PC)","Sweeper","113"
"2016/04/29 00:00:00","RE9418 (11140-PC)","Sweeper","73"
"2016/04/23 00:00:00","RE9418 (11140-PC)","Sweeper","71"
"2016/04/24 00:00:00","RE9418 (11140-PC)","Sweeper","71"
"2016/05/10 00:00:00","RE9418 (11140-PC)","Sweeper","71"
"2016/04/09 00:00:00","RE9400 (11137-PC)","Sweeper","50"
"2016/04/28 00:00:00","RE9400 (11137-PC)","Sweeper","49"
"2016/04/29 00:00:00","RE9400 (11137-PC)","Sweeper","91"
"2016/05/06 00:00:00","RE9400 (11137-PC)","Sweeper","102"
"2016/04/08 00:00:00","RE9403 (11152-PC)","Sweeper","21"
"2016/04/06 00:00:00","RE9410 (11132-PC)","Sweeper","76"
"2016/04/23 00:00:00","RE9410 (11132-PC)","Sweeper","6"
"2016/04/10 00:00:00","RE9420 (11128-PC)","Sweeper","54"
"2016/05/09 00:00:00","RE9420 (11128-PC)","Sweeper","45"
"2016/04/13 00:00:00","RE9412 (11133-PC)","Sweeper","64"
"2016/04/20 00:00:00","RE9412 (11133-PC)","Sweeper","45"
"2016/04/26 00:00:00","HB13670","Sweeper","155"
"2016/04/12 00:00:00","HB13670","Sweeper","165"
"2016/04/25 00:00:00","HB13670","Sweeper","106"
"2016/04/10 00:00:00","RE9409 (11119-PC)","Sweeper","58"
"2016/05/02 00:00:00","RE9409 (11119-PC)","Sweeper","125"
"2016/04/08 00:00:00","RE9409 (11119-PC)","Sweeper","112"
"2016/05/09 00:00:00","RE9409 (11119-PC)","Sweeper","110"
"2016/04/05 00:00:00","RE9416 (11136-PC)","Sweeper","31"
"2016/04/22 00:00:00","RE9401 (11151-PC)","Sweeper","66"
"2016/04/25 00:00:00","RE9406 (11155-PC)","Sweeper","16"
"2016/04/29 00:00:00","RE9406 (11155-PC)","Sweeper","48"
"2016/04/16 00:00:00","RE9406 (11155-PC)","Sweeper","25"
"2016/04/15 00:00:00","RE9406 (11155-PC)","Sweeper","73"
"2016/04/09 00:00:00","RE9413 (11131-PC)","Sweeper","1"
"2016/04/26 00:00:00","RE9413 (11131-PC)","Sweeper","13"
"2016/04/12 00:00:00","RE9413 (11131-PC)","Sweeper","75"
"2016/04/27 00:00:00","RE9413 (11131-PC)","Sweeper","3"
"2016/04/21 00:00:00","RE9414 (11114-PC)","Sweeper","48"
"2016/04/03 00:00:00","RE9417 (11138-PC)","Sweeper","43"
"2016/05/01 00:00:00","RE9417 (11138-PC)","Sweeper","20"
"2016/05/10 00:00:00","RE9417 (11138-PC)","Sweeper","51"
"2016/05/08 00:00:00","RE9417 (11138-PC)","Sweeper","62"
"2016/05/04 00:00:00","RE9417 (11138-PC)","Sweeper","8"
"2016/04/22 00:00:00","RE9402 (11154-PC)","Sweeper","21"
"2016/04/27 00:00:00","RE9402 (11154-PC)","Sweeper","9"
"2016/05/01 00:00:00","RE9402 (11154-PC)","Sweeper","11"
