NAME,Latitude,Longitude,Address,HOUSENUM,Borough,ZIP,URL
Queens Village,40.7198883271777,-73.73904906070274 ,217 Street,94-11,Queens,11428,http://www.queenslibrary.org/branch/Queens-Village?filters=ev_loc:91900000
Queensboro Hill,40.74293094649011,-73.82516996389201 ,Main Street,60-05,Queens,11355,http://www.queenslibrary.org/branch/Queensboro-Hill?filters=ev_loc:96900000
Queensbridge <br> Now a Family Literacy Center,40.755073718041466,-73.94424078652605 ,41 Avenue,10-43,Queens,11101,http://www.queenslibrary.org/branch/Queensbridge?filters=ev_loc:94700000
Ravenswood <br> Now a Family Literacy Center,40.76067995120377,-73.93640396909242 ,21 Street,35-32,Queens,11106,http://www.queenslibrary.org/branch/Ravenswood?filters=ev_loc:94800000
Rego Park,40.72731656026829,-73.86450282598912 ,63 Drive,91-41,Queens,11374,http://www.queenslibrary.org/branch/Rego-Park?filters=ev_loc:92000000
Richmond Hill,40.70079720332697,-73.83164233461157 ,Hillside Avenue,118-14,Queens,11418,http://www.queenslibrary.org/branch/Richmond-Hill?filters=ev_loc:94900000
Ridgewood,40.70522689472795,-73.90258827579805 ,Madison Street,20-12,Queens,11385,http://www.queenslibrary.org/branch/Ridgewood?filters=ev_loc:92100000
Rochdale Village,40.67287520439724,-73.7705902160538 ,137 Avenue,169-09,Queens,11434,http://www.queenslibrary.org/branch/Rochdale-Village?filters=ev_loc:95000000
Rosedale,40.659963623126,-73.73991101315558 ,243 Street,144-20,Queens,11422,http://www.queenslibrary.org/branch/Rosedale?filters=ev_loc:95100000
Seaside,40.57940488152449,-73.83774700520225 ,Rockaway Beach Boulevard,116-15,Queens,11694,http://www.queenslibrary.org/branch/Seaside?filters=ev_loc:96300000
South Hollis,40.707003911354256,-73.75379739629261 ,Hollis Avenue,204-01,Queens,11412,http://www.queenslibrary.org/branch/South-Hollis?filters=ev_loc:95300000
South Jamaica,40.695611117576654,-73.79021187041809 ,Guy R. Brewer Boulevard,108-41,Queens,11433,http://www.queenslibrary.org/branch/South-Jamaica?filters=ev_loc:95400000
South Ozone Park,40.674783953734696,-73.80926182925428 ,Rockaway Boulevard,128-16,Queens,11420,http://www.queenslibrary.org/branch/South-Ozone-Park?filters=ev_loc:95500000
St.Albans,40.69249997141939,-73.76007289358745 ,Linden Boulevard,191-05,Queens,11412,http://www.queenslibrary.org/branch/St.Albans?filters=ev_loc:95200000
Steinway,40.77682707405275,-73.90945659290355 ,31 Street,21-45,Queens,11105,http://www.queenslibrary.org/branch/Steinway?filters=ev_loc:95600000
Sunnyside,40.7408466968306,-73.9216680312544 ,Greenpoint Avenue,43-06,Queens,11104,http://www.queenslibrary.org/branch/Sunnyside?filters=ev_loc:95700000
Whitestone,40.78854019464647,-73.81070183926587 ,14 Road,151-10,Queens,11357,http://www.queenslibrary.org/branch/Whitestone?filters=ev_loc:95800000
Windsor Park,40.73450483347836,-73.7556194209342 ,Bell Boulevard,79-50,Queens,11364,http://www.queenslibrary.org/branch/Windsor-Park?filters=ev_loc:95900000
Woodhaven,40.69453115325741,-73.86145741517984 ,Forest Parkway,85-41,Queens,11421,http://www.queenslibrary.org/branch/Woodhaven?filters=ev_loc:96000000
Woodside,40.745341712986715,-73.9097937387323 ,Skillman Avenue,54-22,Queens,11377,http://www.queenslibrary.org/branch/Woodside?filters=ev_loc:96100000
