"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"cod_barrio_local";"id_seccion_censal_local";"desc_seccion_censal_local";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"id_vial_edificio";"clase_vial_edificio";"desc_vial_edificio";"id_ndp_edificio";"id_clase_ndp_edificio";"nom_edificio";"num_edificio";"cal_edificio";"secuencial_local_PC";"id_vial_acceso";"clase_vial_acceso";"desc_vial_acceso";"id_ndp_acceso";"id_clase_ndp_acceso";"nom_acceso";"num_acceso";"cal_acceso";"coordenada_x_agrupacion";"coordenada_y_agrup";"id_agrupacion";"nombre_agrupacion";"id_tipo_agrup";"desc_tipo_agrup";"id_planta_agrupado";"id_local_agrupado";"rotulo"
"10001288";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"93";"0";"0";"";"Puerta Calle";"9";"Baja Reunificacion";"";"CALLE                   ";"CORREDERA ALTA DE SAN PABLO                       ";"11005533";"1";"NUM";"32";"  ";"1010";"";"CALLE                   ";"CORREDERA ALTA DE SAN PABLO                       ";"11005533";"1";"NUM";"32";"  ";"";"";"";"";"";"";"";"";"GILDAS                                            "
"10001293";"1";"CENTRO              ";"106";"SOL                 ";"";"";"119";"440497,01";"4474333,02";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"BARCELONA                                         ";"11007450";"1";"NUM";"4";"  ";"10";"";"CALLE                   ";"BARCELONA                                         ";"11007450";"1";"NUM";"4";"  ";"";"";"";"";"";"";"";"";"BAR RESTAURANTE EN BUSCA DEL TIEMPO"
"10001319";"1";"CENTRO              ";"106";"SOL                 ";"";"";"117";"440553,62";"4474753,01";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"MONTERA                                           ";"11007351";"1";"NUM";"45";"  ";"10";"";"CALLE                   ";"MONTERA                                           ";"11007351";"1";"NUM";"45";"  ";"";"";"";"";"";"";"";"";"BERSHKA"
"10002210";"1";"CENTRO              ";"102";"EMBAJADORES         ";"";"";"45";"440608,86";"4473962,12";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"MAGDALENA                                         ";"11002526";"1";"NUM";"20";"  ";"30";"";"CALLE                   ";"MAGDALENA                                         ";"11002526";"1";"NUM";"20";"  ";"";"";"";"";"";"";"";"";"EL UNIVERSO DEL REGALO"
"10002212";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"112";"0";"0";"";"Agrupado";"1";"Abierto";"";"PLAZA                   ";"MOSTENSES                                         ";"11006826";"1";"NUM";"1";"  ";"0";"";"PLAZA                   ";"MOSTENSES                                         ";"11006826";"1";"NUM";"1";"  ";"439962,13";"4475204";"99000061";"MERCADO MUNICIPAL LOS MOSTENSES";"12";"Mercado Municipal";"1";"111";"HNOS BENITO / LOCAL 111-112"
"10002231";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"113";"440228,61";"4475252,19";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"PEZ                                               ";"11006916";"1";"NUM";"19";"  ";"20";"";"CALLE                   ";"PEZ                                               ";"11006916";"1";"NUM";"19";"  ";"";"";"";"";"";"";"";"";"HOTEL ABALU"
"10002236";"1";"CENTRO              ";"103";"CORTES              ";"";"";"69";"440621,94";"4474358,52";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"NUÑEZ DE ARCE                                     ";"11003828";"1";"NUM";"1";"  ";"10";"";"CALLE                   ";"NUÑEZ DE ARCE                                     ";"11003828";"1";"NUM";"1";"  ";"";"";"";"";"";"";"";"";"HOTEL MADRIDSOL"
"10002237";"1";"CENTRO              ";"101";"PALACIO             ";"";"";"11";"439751,41";"4474036,53";"";"Puerta Calle";"1";"Abierto";"";"PLAZA                   ";"PAJA                                              ";"11000698";"1";"NUM";"3";"  ";"10";"";"PLAZA                   ";"PAJA                                              ";"11000698";"1";"NUM";"3";"  ";"";"";"";"";"";"";"";"";"NAIA"
"10002257";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"107";"439583,55";"4475961,42";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"ALBERTO AGUILERA                                  ";"11006487";"1";"NUM";"33";"  ";"20";"";"CALLE                   ";"ALBERTO AGUILERA                                  ";"11006487";"1";"NUM";"33";"  ";"";"";"";"";"";"";"";"";"NIZA"
"10002261";"1";"CENTRO              ";"102";"EMBAJADORES         ";"";"";"48";"440565,44";"4473626,49";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"LAVAPIES                                          ";"11002750";"1";"NUM";"51";"  ";"20";"";"CALLE                   ";"LAVAPIES                                          ";"11002750";"1";"NUM";"51";"  ";"";"";"";"";"";"";"";"";"SHA-JALAL"
