SECNAME,ROADCLASS,Shape_Leng,YEAR_VOL,VOLUME
24STSW1,Arterial Street,796.8568673,2015,16000
24STSW1A,Arterial Street,412.320688,2015,12000
24STSW2,Arterial Street,405.2154256,2015,17000
24STSW2A,Arterial Street,446.6820776,2015,9000
24STSW3,Arterial Street,797.1661133,2015,21000
24STSW4,Arterial Street,412.3076336,2015,26000
24STSW5,Arterial Street,1022.440081,2015,18000
24STSW6,Arterial Street,570.3315692,2015,3000
24STW1,Collector,336.8557493,2015,12000
25AVS2,Collector,949.0309364,2015,11000
25AVS3,Arterial Street,743.1419479,2015,12000
25AVS4,Arterial Street,472.1463426,2015,12000
25STSE1,Parkway,228.3586362,2015,11000
25STSE1A,Industrial Arterial,507.5275554,2015,11000
26AVNE0,Collector,474.2687836,2015,12000
26AVNE1,Collector,550.2000487,2015,8000
26AVS1,Collector,394.3088242,2015,10000
26AVS2,Collector,1030.51754,2015,11000
26AVS3,Collector,398.9534982,2015,11000
26AVS4,Collector,1437.314579,2015,10000
26AVSE1,Arterial Street,346.4011927,2015,22000
26AVSE2,Arterial Street,315.5445172,2015,14000
26STSE1,Parkway,384.4055335,2015,13000
26STSE1A,Parkway,490.8139121,2015,9000
26STSE2,Parkway,793.3194886,2015,10000
26STSE3,Parkway,895.5246678,2015,6000
27AVNE2,Industrial Arterial,445.4463741,2015,10000
27AVNE3,Industrial Arterial,510.4913949,2015,9000
27AVNE4,Industrial Arterial,469.3756084,2015,14000
27AVNE5,Industrial Arterial,239.7196445,2015,15000
28STNE1,Collector,286.5757212,2015,9000
28STNE2,Collector,228.9646752,2015,7000
28STNE3,Collector,227.7158906,2015,8000
28STNE4,Collector,230.8558004,2015,7000
28STSE1,Arterial Street,156.6824508,2015,16000
28STSE10,Collector,190.1848554,2015,10000
29STNW1,Collector,447.7539182,2015,21000
29STNW2,Collector,1071.175213,2015,15000
2AVS0,Collector,146.9040329,2015,7000
2AVS1,Collector,173.619266,2015,5000
2STSW0,Collector,314.4080019,2015,4000
2STSW1,Neighbourhood Blvd,209.9196588,2015,6000
2STSW2,Collector,627.3335476,2015,5000
2STSW3,Neighbourhood Blvd,315.7266147,2015,8000
2STSW4,Collector,815.6284256,2015,9000
30AVSW1,Parkway,361.6391153,2015,10000
32AVNE1,Arterial Street,720.5315213,2015,18000
32AVNE10,Arterial Street,1222.771946,2015,13000
32AVNE11,Arterial Street,408.8573131,2015,10000
32AVNE12A,Arterial Street,437.4122036,2015,8000
32AVNE2,Arterial Street,1204.435301,2015,29000
32AVNE3,Arterial Street,390.5887504,2015,52000
32AVNE4,Urban Boulevard,1087.729407,2015,24000
32AVNE5,Urban Boulevard,689.6775374,2015,28000
32AVNE6,Urban Boulevard,927.8531605,2015,28000
32AVNE7,Urban Boulevard,501.9270396,2015,23000
32AVNE8,Arterial Street,584.9055535,2015,21000
32AVNE9,Arterial Street,1038.457383,2015,19000
32AVNW1,Urban Boulevard,775.9991564,2015,16000
32AVNW1A,Urban Boulevard,305.2282072,2015,22000
32AVNW1B,Collector,483.4307561,2015,10000
32AVNW2,Urban Boulevard,746.7283449,2015,15000
32AVNW3,Urban Boulevard,462.323718,2015,22000
32STNE_3,Collector,844.8405441,2015,6000
32STNE1,Collector,568.8276292,2015,13000
32STNE2,Collector,632.6969412,2015,15000
33AVSW0,Arterial Street,850.685384,2015,28000
33AVSW1,Neighbourhood Blvd,588.176143,2015,25000
33AVSW2,Neighbourhood Blvd,1035.03426,2015,13000
33STNE5,Collector,278.3220466,2015,8000
33STSW5,Collector,407.0223416,2015,13000
34AVNWX,Arterial Street,756.6487901,2015,7000
34AVSE1,Arterial Street,682.9369065,2015,3000
34AVSW1,Arterial Street,228.9123302,2015,16000
36AVNE4,Arterial Street,394.777574,2015,9000
METISTRNE1,Skeletal Road,1917.793183,2015,46000
36STNE10,Arterial Street,822.2697015,2015,19000
36STNE11,Arterial Street,1627.424075,2015,16000
36STNE12,Arterial Street,1024.668358,2015,13000
36STNE13,Industrial Arterial,264.5590818,2015,12000
36STNE3,Skeletal Road,840.5837317,2015,37000
36STNE4,Arterial Street,761.948897,2015,26000
36STNE5,Arterial Street,1113.549355,2015,26000
36STNE6,Arterial Street,549.8338667,2015,36000
36STNE7,Urban Boulevard,477.6048716,2015,44000
36STNE7A,Urban Boulevard,592.7585666,2015,25000
36STNE8,Arterial Street,556.466612,2015,25000
36STNE9,Arterial Street,760.2007146,2015,25000
36STNEA1,Industrial Arterial,1343.834208,2015,13000
36STNEA2,Industrial Arterial,3007.939408,2015,12000
36STNEA2A,Industrial Arterial,1631.074753,2015,8000
36STSE14,Industrial Arterial,397.3243875,2015,6000
37STSW_6A,Arterial Street,344.5074675,2015,13000
37STSW1,Neighbourhood Blvd,819.6448643,2015,14000
37STSW10,Skeletal Road,1693.509772,2015,24000
37STSW2,Neighbourhood Blvd,867.1324758,2015,18000
37STSW3,Arterial Street,835.3154629,2015,17000
37STSW4,Arterial Street,1127.616016,2015,19000
37STSW5,Arterial Street,380.8839233,2015,21000
37STSW9,Skeletal Road,1432.042341,2015,22000
38AVSW1,Neighbourhood Blvd,204.5918375,2015,7000
39AVNE1,Arterial Street,266.0139323,2015,15000
39AVNE2,Arterial Street,418.2769872,2015,13000
39AVNE3,Arterial Street,305.8555081,2015,11000
39AVNE4,Arterial Street,137.0054723,2015,16000
39AVNE5,Arterial Street,287.901023,2015,16000
3AVS1,Neighbourhood Blvd,516.737295,2015,7000
3AVS1_A,Neighbourhood Blvd,168.9241403,2015,4000
3AVS2,Neighbourhood Blvd,103.360019,2015,7000
3AVS2_A,Neighbourhood Blvd,174.8056043,2015,4000
3AVS2_B,Neighbourhood Blvd,136.6727944,2015,6000
3STE2,Neighbourhood Blvd,107.3316795,2015,12000
3STE2_A,Neighbourhood Blvd,99.5611985,2015,3000
3STE4,Neighbourhood Blvd,315.7372416,2015,9000
3STE4_A,Neighbourhood Blvd,207.458583,2015,1000
3STW1,Neighbourhood Blvd,317.1937981,2015,6000
40AVN1,Collector,338.6412049,2015,18000
40AVN10,Collector,775.9266795,2015,13000
40AVN11,Collector,721.1380271,2015,10000
40AVN12,Collector,1006.805085,2015,7000
40AVN3,Collector,501.3280474,2015,14000
40STSE1,Industrial Arterial,645.2831166,2015,13000
42AVS1,Collector,1194.782286,2015,7000
42AVS2,Arterial Street,789.6345093,2015,22000
42AVS2A,Arterial Street,333.2633413,2015,16000
42AVS3,Arterial Street,367.0619796,2015,17000
42AVS4,Arterial Street,591.7580689,2015,11000
42AVS5,Arterial Street,588.4568715,2015,12000
42STSE1,Industrial Arterial,368.4309691,2015,2000
42STSE2,Industrial Arterial,809.1809737,2015,5000
44AVNE4,Collector,417.1442718,2015,11000
44STE4,Collector,468.192853,2015,9000
44STE5,Collector,350.1667014,2015,7000
METISTRNE2,Skeletal Road,1540.278321,2015,33000
45STSE1A,Arterial Street,275.4768455,2015,4000
46AVSE1,Arterial Street,912.6379258,2015,8000
47STNE1,Arterial Street,257.6077948,2015,16000
48STSE1,Industrial Arterial,272.8406069,2015,3000
49AVNE1,Industrial Arterial,248.3596124,2015,18000
49STNW1,Urban Boulevard,833.6844602,2015,10000
4AVS10,Arterial Street,175.519646,2015,25000
4AVS11,Arterial Street,170.7210232,2015,26000
4AVS12,Arterial Street,172.5703875,2015,38000
4AVS13,Arterial Street,233.9413495,2015,37000
4AVS14,Arterial Street,176.3421341,2015,12000
4AVS15(E),Arterial Street,828.2971105,2015,28000
4AVS15(W),Parkway,200.8633686,2015,13000
4AVS2,Arterial Street,176.0517612,2015,16000
4AVS3,Arterial Street,172.1533173,2015,15000
4AVS4,Arterial Street,174.7474436,2015,18000
4AVS5,Arterial Street,173.1380391,2015,15000
4AVS6,Arterial Street,144.7391072,2015,23000
4AVS7,Arterial Street,98.54332698,2015,18000
4AVS8,Arterial Street,170.2592657,2015,24000
4AVS9,Arterial Street,171.96497,2015,23000
4AVSWCON,Arterial Street,1039.176156,2015,10000
4STE1,Neighbourhood Blvd,97.39872261,2015,5000
4STE1_A,Neighbourhood Blvd,139.0270512,2015,7000
4STE2,Neighbourhood Blvd,108.5210054,2015,3000
4STE3,Neighbourhood Blvd,208.4994602,2015,1000
4STNE_2,Arterial Street,957.8143667,2015,8000
4STNE1,Arterial Street,947.9311163,2015,8000
4STNW1,Collector,888.9781529,2015,16000
4STNW2,Collector,881.4589052,2015,14000
4STNW2A,Collector,731.0274369,2015,16000
4STNW3,Collector,2841.650078,2015,14000
4STNW4,Neighbourhood Blvd,398.8650988,2015,12000
4STNW5,Collector,398.6041317,2015,8000
4STSW1,Neighbourhood Blvd,107.6009803,2015,6000
4STSW10,Collector,409.0995178,2015,15000
4STSW11,Neighbourhood Blvd,99.03793378,2015,11000
4STSW2,Neighbourhood Blvd,105.1517697,2015,8000
4STSW3,Neighbourhood Blvd,213.2194416,2015,11000
4STSW4,Neighbourhood Blvd,247.364413,2015,12000
4STSW5,Neighbourhood Blvd,103.8260068,2015,12000
4STSW6,Neighbourhood Blvd,107.3927714,2015,13000
4STSW7,Neighbourhood Blvd,210.0499436,2015,12000
4STSW8,Neighbourhood Blvd,215.8296329,2015,12000
4STSW9,Neighbourhood Blvd,397.882389,2015,14000
50AVS0,Urban Boulevard,803.1195514,2015,18000
50AVS1,Parkway,610.6972978,2015,12000
50AVS2,Collector,959.5765911,2015,8000
50AVS3,Collector,751.42122,2015,10000
50AVSE1,Industrial Arterial,1236.284796,2015,17000
50AVSE2,Industrial Arterial,231.1090606,2015,23000
50AVSE3,Industrial Arterial,1568.758521,2015,15000
50AVSE4,Industrial Arterial,1224.932828,2015,14000
51STSW1,Neighbourhood Blvd,167.7198094,2015,12000
